RawKind,vegan,lactoVeg,ovoVeg,lactoOvoVeg,pescoVeg,polloVeg
계란말이후레이크,1,1,0,0,0,0
계란난황립,1,1,0,0,0,0
계란흰자분말,1,1,0,0,0,0
계란흰자,1,1,0,0,0,0
계란지단,1,1,0,0,0,0
계란구이,1,1,0,0,0,0
계란자숙액,1,1,0,0,0,0
계란흰지분말,1,1,0,0,0,0
계란고명,1,1,0,0,0,0
계란과립,1,1,0,0,0,0
국내산계란,1,1,0,0,0,0
삼계탕베이스분말,1,1,0,0,0,0
오골계,1,1,0,0,0,0
삼계탕용,1,1,0,0,0,0
삼계탕육수농축액,1,1,0,0,0,0
계량메주발효물,1,1,0,0,0,0
누리웰깐계란,1,1,0,0,0,0
삶은계란,1,1,0,0,0,0
삼계탕용육수,1,1,0,0,0,0
계란찜분말,1,1,0,0,0,0
계란,1,1,0,0,0,0
삼계탕맛시즈닝,1,1,0,0,0,0
계정육,1,1,0,0,0,0
육계,1,1,0,0,0,0
계란맛어포,1,1,0,0,0,0
유기농계란,1,1,0,0,0,0
삼계소스,1,1,0,0,0,0
계향,1,1,0,0,0,0
계란스크램블,1,1,0,0,0,0
계란노른자,1,1,0,0,0,0
땅콩계란,1,1,0,0,0,0
계육,1,1,0,0,0,0
제빵계량제,1,1,0,0,0,0
무항생제계란,1,1,0,0,0,0
계란후레이크,1,1,0,0,0,0
기계발골육,1,1,0,0,0,0
계란블럭,1,1,0,0,0,0
계란말이후레이크,1,1,0,0,0,0
계란난황립,1,1,0,0,0,0
계란흰자분말,1,1,0,0,0,0
삼계탕소스,1,1,0,0,0,0
계육액분말,1,1,0,0,0,0
계란흰자,1,1,0,0,0,0
계란지단,1,1,0,0,0,0
계란구이,1,1,0,0,0,0
삼계닭,1,1,0,0,0,0
초계엑기스,1,1,0,0,0,0
계란자숙액,1,1,0,0,0,0
계육추출물,1,1,0,0,0,0
계란흰지분말,1,1,0,0,0,0
계지,1,1,0,0,0,0
계란고명,1,1,0,0,0,0
계란과립,1,1,0,0,0,0
계량메주된장,1,1,0,0,0,0
게란후레이크,1,1,0,0,0,0
치킨본엑스,1,1,1,1,1,0
치킨본엑기스,1,1,1,1,1,0
치킨본추출액,1,1,1,1,1,0
치킨본육추출물,1,1,1,1,1,0
치킨본베이스,1,1,1,1,1,0
닭뼈,1,1,1,1,1,0
닭고기향가루,1,1,1,1,1,0
유기농닭고기,1,1,1,1,1,0
닭고기추출농축액,1,1,1,1,1,0
닭고기정육,1,1,1,1,1,0
조미닭고기후레이크,1,1,1,1,1,0
닭고기맛분말씨즈닝,1,1,1,1,1,0
닭고기향가루,1,1,1,1,1,0
닭고기분쇄육,1,1,1,1,1,0
닭고기살,1,1,1,1,1,0
닭고기맛분말시즈닝,1,1,1,1,1,0
닭고기고명,1,1,1,1,1,0
닭고기향,1,1,1,1,1,0
액상스프중닭고기함량,1,1,1,1,1,0
닭고기분해액,1,1,1,1,1,0
닭고기조미분말,1,1,1,1,1,0
닭고기지방,1,1,1,1,1,0
국산닭고기,1,1,1,1,1,0
조미닭고기후레이트,1,1,1,1,1,0
닭고기안심,1,1,1,1,1,0
농축닭고기부용,1,1,1,1,1,0
마이일반응된닭고기향,1,1,1,1,1,0
닭고기진육,1,1,1,1,1,0
닭고기우엉덮밥,1,1,1,1,1,0
베베닭고기,1,1,1,1,1,0
닭고기,1,1,1,1,1,0
닭고기맛베이스,1,1,1,1,1,0
무항생제닭고기,1,1,1,1,1,0
닭가슴살복합시즈닝,1,1,1,1,1,0
발효닭가슴살,1,1,1,1,1,0
굽네닭가슴살오리지널씨즈닝,1,1,1,1,1,0
국내산닭가슴살,1,1,1,1,1,0
국내산닭가슴살정육,1,1,1,1,1,0
조미닭가슴살후레이크,1,1,1,1,1,0
닭가슴살용염지제,1,1,1,1,1,0
닭가슴살정육,1,1,1,1,1,0
닭가슴살순양념,1,1,1,1,1,0
닭가슴살분말,1,1,1,1,1,0
무항생제닭가슴살,1,1,1,1,1,0
닭가슴살,1,1,1,1,1,0
힘닭가슴살,1,1,1,1,1,0
그릴닭가슴살용염지제,1,1,1,1,1,0
갈릭닭가슴살용염지제,1,1,1,1,1,0
아임닭가슴살시즈닝,1,1,1,1,1,0
닭,1,1,1,1,1,0
아임닭,1,1,1,1,1,0
즉석닭육수,1,1,1,1,1,0
닭추출농축베이스,1,1,1,1,1,0
화끈한불닭소스,1,1,1,1,1,0
닭똥집,1,1,1,1,1,0
통닭,1,1,1,1,1,0
닭뼈,1,1,1,1,1,0
유기농닭고기,1,1,1,1,1,0
닭염통,1,1,1,1,1,0
닭강정시즈닝믹스,1,1,1,1,1,0
닭추출액,1,1,1,1,1,0
닭고기추출농축액,1,1,1,1,1,0
무뼈닭발,1,1,1,1,1,0
닭고기정육,1,1,1,1,1,0
조미닭고기후레이크,1,1,1,1,1,0
안동식찜닭소스,1,1,1,1,1,0
불닭맛씨즈닝,1,1,1,1,1,0
닭고기맛분말씨즈닝,1,1,1,1,1,0
닭고기향가루,1,1,1,1,1,0
닭자숙액,1,1,1,1,1,0
햇불닭소스,1,1,1,1,1,0
닭고기분쇄육,1,1,1,1,1,0
매운닭갈비소스,1,1,1,1,1,0
닭고기살,1,1,1,1,1,0
닭고기맛분말시즈닝,1,1,1,1,1,0
닭고기고명,1,1,1,1,1,0
닭가슴살복합시즈닝,1,1,1,1,1,0
발효닭가슴살,1,1,1,1,1,0
닭다리살,1,1,1,1,1,0
닭유수,1,1,1,1,1,0
닭육수,1,1,1,1,1,0
닭고기향,1,1,1,1,1,0
닭곱창,1,1,1,1,1,0
굽네닭가슴살오리지널씨즈닝,1,1,1,1,1,0
불닭맛씨즈닝에스와이,1,1,1,1,1,0
동해닭강정염지제,1,1,1,1,1,0
국내산닭가슴살,1,1,1,1,1,0
닭근위,1,1,1,1,1,0
국내산닭가슴살정육,1,1,1,1,1,0
닭발육수,1,1,1,1,1,0
조미닭가슴살후레이크,1,1,1,1,1,0
닭가슴살용염지제,1,1,1,1,1,0
삶은닭다리살,1,1,1,1,1,0
매콤불닭양념,1,1,1,1,1,0
닭발효소분해물,1,1,1,1,1,0
액상스프중닭고기함량,1,1,1,1,1,0
닭강정핫베이스,1,1,1,1,1,0
하림닭육수,1,1,1,1,1,0
불닭볶음맛씨즈닝,1,1,1,1,1,0
닭고기분해액,1,1,1,1,1,0
불오닭소스,1,1,1,1,1,0
통닭발,1,1,1,1,1,0
매콤닭발양념장,1,1,1,1,1,0
닭발,1,1,1,1,1,0
닭다리,1,1,1,1,1,0
불닭소스,1,1,1,1,1,0
치즈불닭맛씨즈닝,1,1,1,1,1,0
치즈불닭소스,1,1,1,1,1,0
아임닭카레,1,1,1,1,1,0
닭육수분말베이스,1,1,1,1,1,0
달콤한닭강정소스,1,1,1,1,1,0
닭고기조미분말,1,1,1,1,1,0
닭가슴살정육,1,1,1,1,1,0
닭안심,1,1,1,1,1,0
닭고기지방,1,1,1,1,1,0
닭가슴살순양념,1,1,1,1,1,0
국산닭고기,1,1,1,1,1,0
닭볶음탕양념,1,1,1,1,1,0
허닭시즈닝,1,1,1,1,1,0
하림닭육슈,1,1,1,1,1,0
닭간,1,1,1,1,1,0
닭가슴살분말,1,1,1,1,1,0
무뼈닭발양념,1,1,1,1,1,0
닭다리정육,1,1,1,1,1,0
닭강정맛소스,1,1,1,1,1,0
조미닭고기후레이트,1,1,1,1,1,0
매콤한닭강정소스,1,1,1,1,1,0
화끈불닭소스,1,1,1,1,1,0
닭갈비조미분,1,1,1,1,1,0
불닭볶음맛떡볶이시즈닝,1,1,1,1,1,0
삶은닭발,1,1,1,1,1,0
닭스킨,1,1,1,1,1,0
닭고기안심,1,1,1,1,1,0
닭정육,1,1,1,1,1,0
농축닭고기부용,1,1,1,1,1,0
아임닭소스,1,1,1,1,1,0
닭갈비용양념매운맛,1,1,1,1,1,0
아임닭프랑크소시지시즈닝,1,1,1,1,1,0
수비드닭다리살,1,1,1,1,1,0
불닭구이소스,1,1,1,1,1,0
닭조림양념장,1,1,1,1,1,0
닭갈비볶음,1,1,1,1,1,0
닭볶음소스,1,1,1,1,1,0
마이일반응된닭고기향,1,1,1,1,1,0
닭고기진육,1,1,1,1,1,0
닭고기우엉덮밥,1,1,1,1,1,0
닭육수농축액,1,1,1,1,1,0
닭발발,1,1,1,1,1,0
삼계닭,1,1,1,1,1,0
닭강정파우더,1,1,1,1,1,0
닭갈비맛양념장,1,1,1,1,1,0
무항생제닭가슴살,1,1,1,1,1,0
닭강정소스,1,1,1,1,1,0
닭가슴살,1,1,1,1,1,0
힘닭가슴살,1,1,1,1,1,0
찜닭소스,1,1,1,1,1,0
닭백숙분말,1,1,1,1,1,0
진한닭육수,1,1,1,1,1,0
닭살,1,1,1,1,1,0
닭갈비맛분말,1,1,1,1,1,0
그릴닭가슴살용염지제,1,1,1,1,1,0
핵불닭볶음면소스,1,1,1,1,1,0
비비고닭곰탕육수,1,1,1,1,1,0
닭날개,1,1,1,1,1,0
국물진한닭발육수,1,1,1,1,1,0
닭육수분말,1,1,1,1,1,0
베베닭고기,1,1,1,1,1,0
닭고기,1,1,1,1,1,0
조미닭후레이크,1,1,1,1,1,0
갈릭닭가슴살용염지제,1,1,1,1,1,0
닭고기맛베이스,1,1,1,1,1,0
닭다리형펠렛,1,1,1,1,1,0
아임닭가슴살시즈닝,1,1,1,1,1,0
무항생제닭고기,1,1,1,1,1,0
닭갈비소스,1,1,1,1,1,0
대두함유,0,0,0,0,0,0
유기농탈지대두,0,0,0,0,0,0
탈지대두후레이크,0,0,0,0,0,0
탈지대두단백,0,0,0,0,0,0
탈지대두분,0,0,0,0,0,0
알피탈지대두분,0,0,0,0,0,0
탈지대두분말,0,0,0,0,0,0
알파탈지대두분,0,0,0,0,0,0
볶음탈지대두분,0,0,0,0,0,0
탈지대두인도산,0,0,0,0,0,0
탈지대두,0,0,0,0,0,0
분리대두단백,0,0,0,0,0,0
분리대두단백너겟,0,0,0,0,0,0
대두이소플라본,0,0,0,0,0,0
대듀,0,0,0,0,0,0
대두함유,0,0,0,0,0,0
대두포함,0,0,0,0,0,0
부분경화대두유,0,0,0,0,0,0
정제대두유,0,0,0,0,0,0
대두유,0,0,0,0,0,0
경화대두유,0,0,0,0,0,0
대두유액,0,0,0,0,0,0
유기농대두유,0,0,0,0,0,0
유기대두유,0,0,0,0,0,0
대두유혼합제제,0,0,0,0,0,0
대두볼,0,0,0,0,0,0
부분경화대두유,0,0,0,0,0,0
볶음대두분,0,0,0,0,0,0
수용성대두다당류,0,0,0,0,0,0
대두분등,0,0,0,0,0,0
대두액,0,0,0,0,0,0
조직농축대두단백,0,0,0,0,0,0
대두재래된장,0,0,0,0,0,0
대두단백분발,0,0,0,0,0,0
대두응고제,0,0,0,0,0,0
대두다낵,0,0,0,0,0,0
대두단백후레이크,0,0,0,0,0,0
대두형,0,0,0,0,0,0
미트프로엠대두단백,0,0,0,0,0,0
조미대두단백,0,0,0,0,0,0
대두산백,0,0,0,0,0,0
대두함유,0,0,0,0,0,0
찐대두분,0,0,0,0,0,0
대두조직단백,0,0,0,0,0,0
대두인지질,0,0,0,0,0,0
조직화대두단백,0,0,0,0,0,0
콩단백발효액대두,0,0,0,0,0,0
발효대두추출혼합분말,0,0,0,0,0,0
유기농탈지대두,0,0,0,0,0,0
찐대두분말,0,0,0,0,0,0
대두분리단백,0,0,0,0,0,0
탈지대두후레이크,0,0,0,0,0,0
탈지대두단백,0,0,0,0,0,0
대두분리단백너겟,0,0,0,0,0,0
대두고형분,0,0,0,0,0,0
볶음대두분말,0,0,0,0,0,0
대두화이바,0,0,0,0,0,0
무농약대두분,0,0,0,0,0,0
탈지대두분,0,0,0,0,0,0
대두분,0,0,0,0,0,0
분리대두단백,0,0,0,0,0,0
대두콩,0,0,0,0,0,0
정제대두유,0,0,0,0,0,0
건조대두단백,0,0,0,0,0,0
대두단백분말,0,0,0,0,0,0
대두경화유,0,0,0,0,0,0
알피탈지대두분,0,0,0,0,0,0
무농약대두,0,0,0,0,0,0
발효대두페이스트,0,0,0,0,0,0
탈지대두분말,0,0,0,0,0,0
미배아대두발효추출물,0,0,0,0,0,0
대두너겟,0,0,0,0,0,0
대두유,0,0,0,0,0,0
양파대두단백,0,0,0,0,0,0
대두에스테르화유,0,0,0,0,0,0
대두추출물분말,0,0,0,0,0,0
간장대두,0,0,0,0,0,0
대두,0,0,0,0,0,0
대두당백,0,0,0,0,0,0
경화대두유,0,0,0,0,0,0
알파탈지대두분,0,0,0,0,0,0
대두다당,0,0,0,0,0,0
농출대두단백,0,0,0,0,0,0
대두유액,0,0,0,0,0,0
대두볶음콩가루,0,0,0,0,0,0
대두레시틴,0,0,0,0,0,0
입자성대두단백,0,0,0,0,0,0
가수분해대두단백,0,0,0,0,0,0
대두분말,0,0,0,0,0,0
대두식이섬유결정과당,0,0,0,0,0,0
유기농대두,0,0,0,0,0,0
농축대두단백월콘에스제이,0,0,0,0,0,0
대두조직단백질,0,0,0,0,0,0
조직대두단백,0,0,0,0,0,0
대두펩타이드,0,0,0,0,0,0
대두가루,0,0,0,0,0,0
대두레시틴분말,0,0,0,0,0,0
알파대두분,0,0,0,0,0,0
대두화이버,0,0,0,0,0,0
유기농대두유,0,0,0,0,0,0
농추대두단백,0,0,0,0,0,0
농축대두단백,0,0,0,0,0,0
대두볶음분말,0,0,0,0,0,0
대두난백,0,0,0,0,0,0
대두식이섬유,0,0,0,0,0,0
볶음탈지대두분,0,0,0,0,0,0
대두리세틴,0,0,0,0,0,0
입상대두단백,0,0,0,0,0,0
가수분해대두단백질,0,0,0,0,0,0
탈지대두인도산,0,0,0,0,0,0
탈지대두,0,0,0,0,0,0
유기대두유,0,0,0,0,0,0
대두다당유,0,0,0,0,0,0
대두이소플라본,0,0,0,0,0,0
볶은대두분말,0,0,0,0,0,0
대두류,0,0,0,0,0,0
대두유혼합제제,0,0,0,0,0,0
대두다당류,0,0,0,0,0,0
분리대두단백너겟,0,0,0,0,0,0
볶은대두분,0,0,0,0,0,0
부리대두단백,0,0,0,0,0,0
국산대두,0,0,0,0,0,0
대두발효펩타이드,0,0,0,0,0,0
대두단백,0,0,0,0,0,0
발아적두,0,0,0,0,0,0
적두설기,0,0,0,0,0,0
적두,0,0,0,0,0,0
타요견과,0,0,0,0,0,0
콩발효맛내기진,0,0,0,0,0,0
배합땅콩,0,0,0,0,0,0
콩발효농축액,0,0,0,0,0,0
김치맛콩나물분말,0,0,0,0,0,0
분말콩국,0,0,0,0,0,0
볶은검정콩,0,0,0,0,0,0
땅콩향,0,0,0,0,0,0
생콩가루,0,0,0,0,0,0
튀김땅콩,0,0,0,0,0,0
렌틸콩분말,0,0,0,0,0,0
콩이온엿,0,0,0,0,0,0
검은콩나또,0,0,0,0,0,0
볶음분태땅콩,0,0,0,0,0,0
볶은콩,0,0,0,0,0,0
구운검은콩,0,0,0,0,0,0
흰콩,0,0,0,0,0,0
검은콩농축액,0,0,0,0,0,0
땅콩가공분,0,0,0,0,0,0
적강낭콩,0,0,0,0,0,0
유기농콩,0,0,0,0,0,0
완두콩꼬마새송이야채절임,0,0,0,0,0,0
식물성콩발효베이스,0,0,0,0,0,0
강남콩,0,0,0,0,0,0
볶은콩가루,0,0,0,0,0,0
로커스트콩검,0,0,0,0,0,0
현미귀리퀴노아렌틸콩혼합분말,0,0,0,0,0,0
볶음알땅콩,0,0,0,0,0,0
약콩,0,0,0,0,0,0
콩고물크림,0,0,0,0,0,0
볶은콩눈,0,0,0,0,0,0
동결건조완두콩,0,0,0,0,0,0
콩고물호두,0,0,0,0,0,0
콩향키베이스,0,0,0,0,0,0
검정콩,0,0,0,0,0,0
검정콩보리밥,0,0,0,0,0,0
검은콩추출물,0,0,0,0,0,0
콩단백발효물,0,0,0,0,0,0
작두콩,0,0,0,0,0,0
안동검은콩낫또,0,0,0,0,0,0
밤콩,0,0,0,0,0,0
검은콩분말,0,0,0,0,0,0
검은콩향,0,0,0,0,0,0
땅콩코팅분태,0,0,0,0,0,0
땅콩유,0,0,0,0,0,0
고추장용콩메주,0,0,0,0,0,0
볶은콩향,0,0,0,0,0,0
우리콩메주,0,0,0,0,0,0
스키피땅콩버터,0,0,0,0,0,0
땅콩가루,0,0,0,0,0,0
조검정콩,0,0,0,0,0,0
