rawMtrl,allergy,isCrossReact,probablility
계란구이,난류,false,null
삼계닭,난류,false,null
초계엑기스,난류,false,null
계란자숙액,난류,false,null
계육추출물,난류,false,null
계피엑기스,난류,false,null
계란흰지분말,난류,false,null
계지,난류,false,null
계란고명,난류,false,null
계란과립,난류,false,null
계량메주된장,난류,false,null
게란후레이크,난류,false,null
치킨본엑스,null,0,null
치킨본엑기스,null,0,null
치킨본추출액,null,0,null
치킨본육추출물,null,0,null
치킨본베이스,null,0,null
닭뼈,null,0,null
닭고기향가루,null,0,null
유기농닭고기,null,0,null
닭고기추출농축액,null,0,null
닭고기정육,null,0,null
조미닭고기후레이크,null,0,null
닭고기맛분말씨즈닝,null,0,null
닭고기향가루,null,0,null
닭고기분쇄육,null,0,null
닭고기살,null,0,null
닭고기맛분말시즈닝,null,0,null
닭고기고명,null,0,null
닭고기향,null,0,null
액상스프중닭고기함량,null,0,null
닭고기분해액,null,0,null
닭고기조미분말,null,0,null
닭고기지방,null,0,null
국산닭고기,null,0,null
조미닭고기후레이트,null,0,null
닭고기안심,null,0,null
농축닭고기부용,null,0,null
마이일반응된닭고기향,null,0,null
닭고기진육,null,0,null
닭고기우엉덮밥,null,0,null
베베닭고기,null,0,null
닭고기,null,0,null
닭고기맛베이스,null,0,null
무항생제닭고기,null,0,null
닭가슴살복합시즈닝,null,0,null
발효닭가슴살,null,0,null
굽네닭가슴살오리지널씨즈닝,null,0,null
국내산닭가슴살,null,0,null
국내산닭가슴살정육,null,0,null
조미닭가슴살후레이크,null,0,null
닭가슴살용염지제,null,0,null
닭가슴살정육,null,0,null
닭가슴살순양념,null,0,null
닭가슴살분말,null,0,null
무항생제닭가슴살,null,0,null
닭가슴살,null,0,null
힘닭가슴살,null,0,null
그릴닭가슴살용염지제,null,0,null
갈릭닭가슴살용염지제,null,0,null
아임닭가슴살시즈닝,null,0,null
닭,null,0,null
아임닭,null,0,null
즉석닭육수,null,0,null
닭추출농축베이스,null,0,null
화끈한불닭소스,null,0,null
닭똥집,null,0,null
통닭,null,0,null
닭뼈,null,0,null
유기농닭고기,null,0,null
닭염통,null,0,null
닭강정시즈닝믹스,null,0,null
닭추출액,null,0,null
닭고기추출농축액,null,0,null
무뼈닭발,null,0,null
닭고기정육,null,0,null
조미닭고기후레이크,null,0,null
안동식찜닭소스,null,0,null
불닭맛씨즈닝,null,0,null
닭고기맛분말씨즈닝,null,0,null
닭고기향가루,null,0,null
닭자숙액,null,0,null
햇불닭소스,null,0,null
닭고기분쇄육,null,0,null
매운닭갈비소스,null,0,null
닭고기살,null,0,null
닭고기맛분말시즈닝,null,0,null
닭고기고명,null,0,null
닭가슴살복합시즈닝,null,0,null
발효닭가슴살,null,0,null
닭다리살,null,0,null
닭유수,null,0,null
